dlgid	charid	topic	txt
gorrep	spgorka	\N	"Oh my! What a fine Viking sword you have there. But did you not go on your adventure to find a gem of some sort? Did you not find Mr. Panayotov? It matters not. More artifacts, the better. I'll give you the honors of inspecting the weapon and categorizing it, off you go. Lot's of work to do! Unless you found more artifacts? In which case you would even more work! (Y/N)"
gorgut	spgorka	\N	"What an incredible sword! It appears to be of Viking origin is it not? How is it so well preserved? It seems like it was forged yesterday. Where did you find this? Peru?! Viking artifacts in South America are very rare. Hmmm... Were there any more artifacts where you found this? Should we start excavating there? This could be expensive, but South American Viking artifacts... Such publicity... All the newspapers... My colleagues... Speaking of which, what of Mr. Panayotov and the gem? Did you find any other artifacts on your travels?" (Y/N)
gornec	spgorka	\N	"Interesting. Such a well preserved necklace. You found it in Greenland? Impressive, you must have been traveling the world a lot to end up there. Did you find anything else on your travels?" (Y/N)
gormore	spgorka	\N	"Ooh! How exciting! Show me!"
gordone	spgorka	\N	"Did you find any other artifacts?" (Y/N)
chief1	tachief	Zlatin Panayotov	"Zlatin? Zlatin! That idiot! He awoke the lake monster!"
chief2	tachief	\N	"Emela-ntouka is dead? You are most brave! Thank you! Hrrmmhh... Did Zlatin send you? Should have known it. Why else would strangers be coming here. Of course it had to be that damned Bulgarian! I know what you want. Take his blasted pet. It's ugly anyways."
chiefgre	tachief	Greet	"Who are you? What do you want?"
neema	taneema	Lake Natron	"I can show you the way, I'm familiar with the surroundings."
neema1	taneema	\N	"Airport? Follow me."
neemagre	taneema	Greet	"Hello hello! I am a tourist guide! Are interested in traveling the wilds? I can help you! I know these lands very well indeed."
tapopogr	tapopo	Greet	"popo poPO BAAWAAAA!"
fisher1	tifisher	Boat	"No use boat. Can't fish. Net broken. Go away. I busy."
tifithan	tifisher	\N	"Good many thanks. Need help? I have boat."
sakymogr	timonk1	Greet	The monk smiles warmly and nods.
sakymonk	timonk1	\N	"Zlatin? Panayotov? I do not recall hearing of a monk going by that name I'm afraid. Bulgarian you say? We certainly do not have many foreigners here and none of them are from Bulgaria. Sorry, the person must be in another monastery."
monk1	timonk2	Greet	The monk walks towards you at a calm, steady pace. "Help?" He smiles warmly.
monk2	timonk2	Zlatin Panayotov	The man nods. "An old Bulgarian monk? Ah, I believe you are looking for Tsering. He's in his room at the moment. Go on inside."
tiyetigr	tiyeti	Greet	"HHRRRRRRRR"
zlagem	tizlatin	Fjörsteinn	Zlatin's hand moves with surprising swiftness as he takes the gem out of his pocket. "The Fjǫrsteinn. The very same gem spoken of in the myths of the Vikings." He holds up the small emerald stone in front of your eyes. "Quite beautiful, is it not?" His eyes reflect the rock's faint green light and, for a moment, you are reminded of your childhood neighbour's green-eyed cat. "I found this in Greenland nearly a century years ago. At the time, I was travelling the north, looking for Viking artefacts. One time in Norway I came across an interesting myth that described a powerful sword that belonged to Hveðrungr, nowadays more commonly known as Loki. Have you heard about this?" (Y/N)
zlagreet	tizlatin	Greet	The old man regards you with an enigmatic smile. 'I expected this to happen eventually.' He waves you towards the only chair in the room. 'So, you are here for the gem, are you not?'
zlamyth	tizlatin	\N	"Good. Now, as you know, the gem was never found- not until I did, anyway. The sword, on the other hand, was found, but it disappeared from Norse mythology around 1020. Well, I happen to know the second part of the story. Guðhjǫrr reappeared as the weapon of a previously unknown viking called Hrosskell Hergeirsson nearly 150 years later. Some say Leifr made sure he was buried with the sword, and no one dared disgrace his grave - until Hrosskell came along. The fabled viking was ruthless and unscrupulous. Even though Vikings were viewed as bloodthirsty and barbaric, he stood out from his kind. The man knew no limits to his quest for glory and power. He had to own the sword, had to have the most beautiful wives, had to go where no man had ever been before." The old man stops to take a sip of water.\n"Not many are aware of this turn of events. I could have sought the blade, but I did not. Immortality comes with a price. It would have turned me into a monstruosity over the years- a human figure void of humanity. I was content with the long, calm life the Fjǫrsteinn would provide me with, so I came here, to the solitude of these mountains. Now I have lived for 142 years and I feel ready to pass the gem on. Should I find a suitable person to pass it on."
zlanmyth	tizlatin	\N	"You haven't? Fortunately, I still have a copy of the book, so you can read about it for yourself." He hands you a large brown leather-bound volume.
zlapet	tizlatin	\N	Zlatin examines you attentively. "You seem to be a wise youngster. I will give you the stone but I would like to ask you for something in return- consider this my dying wish, if you will. On one of my trips, to Tanzania this time, I lost a dear friend of mine. A small, fluffy vervet monkey. His name was Beast. I was traveling in the region around Lake Natron at the time. Oh how I wish to see him again..."
zlapet2	tizlatin	\N	The old man tears up as you give him the once so lively monkey. "Thank you." Without another word, he hands you the gem.
